0.01846615	0.00706816	1.19850941	1.68188328	0.01946194	0.17014674	2.00246439
0.01871796	0.00697243	1.21566415	1.65306536	0.01989326	0.16835414	1.99901368
0.01901437	0.00685134	1.22165281	1.67353377	0.02026105	0.16829990	2.01053298
0.01904051	0.00679992	1.21899827	1.65352658	0.02070572	0.16472384	2.03108867
0.01940896	0.00678219	1.19958850	1.68177518	0.02011950	0.16699462	2.02924392
0.01949120	0.00634429	1.20369521	1.64394070	0.02079095	0.17087692	2.03930986
0.01872593	0.00639825	1.19248726	1.68193963	0.02073244	0.16901095	2.02059167
0.01901259	0.00632660	1.20775746	1.64864146	0.02074105	0.16859228	2.00744555
0.01895654	0.00632306	1.19441835	1.63935563	0.02126179	0.17012016	2.05304786
0.01869074	0.00616954	1.21195037	1.65695269	0.02085663	0.17509687	2.10927014
0.01835804	0.00600162	1.20204986	1.66668388	0.02074334	0.17488800	2.13436219
0.01824165	0.00626034	1.20906171	1.64220949	0.02074653	0.17480013	2.11103910
0.01865801	0.00630093	1.18375378	1.64451666	0.02117620	0.17015942	2.09110271
0.01856241	0.00627172	1.20035425	1.65146171	0.02092289	0.16905317	2.08621248
0.01832541	0.00632511	1.20932978	1.64055180	0.02112539	0.16861082	2.09233684
0.01821378	0.00636689	1.19944917	1.63306896	0.02100034	0.16956891	2.06081592
0.01813788	0.00631388	1.21043873	1.65893967	0.02081450	0.16909227	2.08240574
0.01828135	0.00578836	1.19328255	1.63516330	0.02136582	0.17310973	2.13636317
0.01825666	0.00575370	1.19581341	1.65779626	0.02129391	0.17287911	2.09578939
0.01817157	0.00587084	1.19950277	1.64685054	0.02080571	0.17194229	2.03363160
0.01790896	0.00586040	1.20492398	1.65323750	0.02060439	0.16870218	2.01065115
0.01789742	0.00589005	1.21754040	1.65267676	0.02041327	0.16754308	2.03726233
0.01787152	0.00607638	1.21663019	1.64335474	0.02042375	0.16248880	2.01285376
0.01805188	0.00613527	1.22089770	1.64259922	0.02085590	0.16534016	2.00891423
0.01793310	0.00596846	1.21286456	1.61531833	0.02095228	0.16223301	1.99555325
0.01810018	0.00571698	1.21712503	1.64044186	0.02099324	0.16502053	1.99932904
0.01799547	0.00555105	1.21088830	1.64625568	0.02102299	0.15863268	1.97294815
0.01781618	0.00550341	1.18891265	1.63581929	0.02117849	0.16219265	1.96521860
0.01812056	0.00554342	1.19189817	1.64878932	0.02168946	0.16183241	1.96613428
0.01821262	0.00534934	1.19396433	1.66520876	0.02259955	0.15890085	2.02248773
0.01816541	0.00576052	1.18479368	1.66006419	0.02292626	0.15923201	2.05331328
0.01751007	0.00571071	1.19776070	1.66198605	0.02281480	0.16211376	2.05010398
0.01804538	0.00586952	1.21072415	1.62245872	0.02375981	0.16052988	2.08426580
0.01797031	0.00592776	1.21030524	1.63460220	0.02399938	0.15915648	2.07782652
0.01816283	0.00581908	1.20436257	1.65365797	0.02403184	0.16150378	2.13491832
0.01824203	0.00584417	1.19119428	1.64406896	0.02374517	0.16539955	2.12222393
